,0,1,2,3,4,5,6,7,8,9,10
314,53,63,49,311854,13724,2637,4503,4558,3306,2601,2757
315,70,63,101,27273,6597,2639,1963,2850,2820,3016,1808
316,70,63,195,27273,6597,2639,1963,2850,2820,3016,1808
317,66,70,84,334752,24958,22097,16305,1745,4197,4290,5838
318,66,70,-205,334752,24958,22097,16305,1745,4197,4290,5838
319,61,74,69,57624,50314,19722,3603,6336,2451,829,400
320,61,74,184,57624,50314,19722,3603,6336,2451,829,400
321,53,74,131,43379,49357,14376,5140,7494,3513,2127,1325
322,37,70,-185,124546,14541,5566,1131,6123,582,448,149
323,37,70,196,124546,14541,5566,1131,6123,582,448,149
324,27,74,-412,1278782,51403,53074,33255,6937,2837,3485,1491
325,27,74,123,1278782,51403,53074,33255,6937,2837,3485,1491
326,27,83,134,729159,10260,7172,10630,2951,1066,1492,368
327,27,83,68,729159,10260,7172,10630,2951,1066,1492,368
328,40,90,71,3786,1672,385,2333,771,875,741,681
329,40,90,60,3786,1672,385,2333,771,875,741,681
330,56,97,99,1691,896,1447,1527,948,967,686,357
331,56,97,802,1691,896,1447,1527,948,967,686,357
332,60,83,106,49084,75888,10826,5616,5084,3270,516,600
333,60,83,35,49084,75888,10826,5616,5084,3270,516,600
334,63,66,52,3949,8265,842,1250,1816,683,736,341
335,63,66,109,3949,8265,842,1250,1816,683,736,341
336,61,64,93,9572,9134,5047,3836,1864,3036,1628,1341
337,61,64,656,9572,9134,5047,3836,1864,3036,1628,1341
338,44,53,119,17001,38052,7113,4023,3570,1242,454,208
339,44,53,38,17001,38052,7113,4023,3570,1242,454,208
340,56,53,66,11761,4728,419,1243,2380,1021,1147,2849
341,56,53,80,11761,4728,419,1243,2380,1021,1147,2849
342,69,57,40,4837,4042,2504,1019,1149,2993,732,365
343,69,57,91,4837,4042,2504,1019,1149,2993,732,365
344,70,56,193,32781,6032,1946,3111,1239,2435,650,366
345,70,56,55,32781,6032,1946,3111,1239,2435,650,366
346,83,48,107,348052,58412,2926,4539,7983,7572,7580,2076
347,83,48,71,348052,58412,2926,4539,7983,7572,7580,2076
348,88,57,48,1131,3787,1155,3049,543,2477,683,339
349,88,57,69,1131,3787,1155,3049,543,2477,683,339
350,66,56,166,83106,48222,8874,9649,8507,1760,652,481
351,66,56,300,83106,48222,8874,9649,8507,1760,652,481
352,47,53,152,88515,89048,20323,10935,11203,1910,1214,790
353,47,53,67,88515,89048,20323,10935,11203,1910,1214,790
354,43,64,91,6476,12624,3567,4983,7254,1491,896,523
355,43,64,69,6476,12624,3567,4983,7254,1491,896,523
356,44,57,85,71057,5345,980,4271,12589,3723,2029,917
357,44,57,101,71057,5345,980,4271,12589,3723,2029,917
358,54,61,117,13643,7960,2232,4274,3300,1463,315,682
359,54,61,38,13643,7960,2232,4274,3300,1463,315,682
360,69,69,41,7518,2143,4265,325,1201,802,377,1110
361,69,69,56,7518,2143,4265,325,1201,802,377,1110
362,77,75,39,1753,2887,1395,2041,1010,1101,624,322
363,77,75,89,1753,2887,1395,2041,1010,1101,624,322
364,63,87,100,8175,3347,2147,3092,1120,500,252,413
365,63,87,165,8175,3347,2147,3092,1120,500,252,413
366,48,88,76,86216,25931,11121,7112,1688,568,412,618
367,48,88,93,86216,25931,11121,7112,1688,568,412,618
368,47,88,96,7627,3558,2939,1719,982,866,477,664
369,47,88,54,7627,3558,2939,1719,982,866,477,664
370,40,88,272,3529,4220,1320,2931,1520,558,659,413
371,40,88,203,3529,4220,1320,2931,1520,558,659,413
372,27,67,-9,26368,40169,3721,1393,1790,548,218,87
373,27,67,134,26368,40169,3721,1393,1790,548,218,87
374,43,64,119,684391,84294,23017,17006,6609,14290,11092,2086
375,43,64,51,684391,84294,23017,17006,6609,14290,11092,2086
376,37,54,70,1666477,254047,34600,40092,33863,13123,7600,4497
377,37,54,71,1666477,254047,34600,40092,33863,13123,7600,4497
378,34,47,171,15057,15095,1652,3519,1360,856,346,463
379,34,47,54,15057,15095,1652,3519,1360,856,346,463
380,44,66,49,43090,4321,4078,3340,2217,607,493,378
381,44,66,157,43090,4321,4078,3340,2217,607,493,378
382,38,63,74,312316,158240,21186,23165,9297,8986,2856,3156
383,38,63,112,312316,158240,21186,23165,9297,8986,2856,3156
384,48,70,57,10772,4603,1311,3710,901,1411,467,850
385,48,70,91,10772,4603,1311,3710,901,1411,467,850
386,57,70,68,7560,4533,639,1446,582,1105,714,408
387,57,70,181,7560,4533,639,1446,582,1105,714,408
388,48,54,93,168737,97952,10201,2692,5882,1506,346,408
389,48,54,53,168737,97952,10201,2692,5882,1506,346,408
390,56,63,69,7493,3993,2636,1598,909,1088,689,362
391,56,61,97,3133,3663,124,2712,614,1140,315,569
392,56,61,112,3133,3663,124,2712,614,1140,315,569
393,53,66,68,2908,2650,2667,540,1065,552,659,684
394,53,66,101,2908,2650,2667,540,1065,552,659,684
395,66,91,83,9271,2480,5412,9275,1996,1399,266,428
396,66,91,88,9271,2480,5412,9275,1996,1399,266,428
397,66,97,137,28511,1881,2268,4138,686,1329,293,294
398,66,97,99,28511,1881,2268,4138,686,1329,293,294
399,54,100,-7,60743,3517,17280,3061,2006,803,340,502
